latitude,longitude,coords
43.63600972,-79.43442609,POINT (-79.43442608813295 43.63600971911543)
43.66035,-79.37108,POINT (-79.37108 43.66035)
43.6576902,-79.5287513,POINT (-79.5287513 43.6576902)
43.70020863,-79.30021541,POINT (-79.30021540587543 43.70020863185834)
43.65189,-79.39589,POINT (-79.39589 43.65189)
43.73804278,-79.59776985,POINT (-79.59776985256052 43.7380427768695)
43.64969335,-79.38113301,POINT (-79.38113301166017 43.64969334524151)
43.75268,-79.50301,POINT (-79.50301 43.75268)
43.64972275,-79.4250113,POINT (-79.42501129811247 43.6497227481724)
43.64338371,-79.42650563,POINT (-79.42650562645692 43.64338370745308)
43.67071,-79.41907,POINT (-79.41907 43.67071)
43.76909158,-79.4988718,POINT (-79.49887180317992 43.76909158385238)
43.67084758,-79.37816759,POINT (-79.37816759167448 43.67084757645047)
43.78433,-79.33758,POINT (-79.33758 43.78433)
43.65693,-79.41139,POINT (-79.41139 43.65693)
43.6676,-79.33602,POINT (-79.33602 43.6676)
43.79271,-79.40866,POINT (-79.40866 43.79271)
43.63936,-79.39794,POINT (-79.39794 43.63936)
43.654545,-79.394341,POINT (-79.394341 43.654545)
43.73934958,-79.2504933,POINT (-79.25049330055238 43.73934958174552)
43.67723761,-79.38201086,POINT (-79.3820108631285 43.677237608924266)
43.6441277,-79.3894058,POINT (-79.38940579999999 43.6441277)
43.70743154,-79.29417793,POINT (-79.2941779334996 43.70743153835116)
43.63917974,-79.41312177,POINT (-79.41312177235258 43.63917974216828)
43.64655,-79.42641,POINT (-79.42641 43.64655)
43.64349,-79.39051,POINT (-79.39051 43.64349)
43.64229322,-79.44432964,POINT (-79.4443296372297 43.64229322264035)
43.7834,-79.41838,POINT (-79.41838 43.7834)
43.75651,-79.3967,POINT (-79.3967 43.75651)
43.79234,-79.37217,POINT (-79.37217 43.79234)
43.64319,-79.37942,POINT (-79.37942 43.64319)
43.685929,-79.46105646,POINT (-79.46105645729861 43.68592900464999)
43.6390379,-79.38148235,POINT (-79.38148235110535 43.63903790004779)
43.64121,-79.38307,POINT (-79.38307 43.64121)
43.6752924,-79.4013484,POINT (-79.4013484 43.6752924)
43.74342674,-79.3269792,POINT (-79.32697920032193 43.74342674255656)
43.66735783,-79.39977149,POINT (-79.39977148735035 43.667357830183605)
43.78844,-79.43407,POINT (-79.43407 43.78844)
43.79839,-79.40922,POINT (-79.40922 43.79839)
43.71645443,-79.23630399,POINT (-79.23630399016504 43.71645443330992)
