Unnamed: 0,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price
5770,40.68314,-73.98769,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,81.0
5771,40.64181,-73.93255,Entire guest suite,Entire home/apt,4,1.0,1 bath,2.0,3.0,81.0
5772,40.66415,-73.95247,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5773,40.63776938,-74.16740209,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,81.0
5774,40.76874,-73.76986,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,81.0
5775,40.8443703,-73.9412633,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,2.0,81.0
5776,40.80936,-73.93732,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5777,40.74363229,-73.88170285,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,81.0
5778,40.80175895,-73.96629264,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,81.0
5779,40.74416,-73.90351,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,81.0
5780,40.74832,-73.87808,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,81.0
5781,40.6636982,-73.8374725,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,81.0
5782,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,1.0,81.0
5783,40.68868,-73.92804,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,0.0,81.0
5784,40.69738,-73.94565,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,81.0
5785,40.81977,-73.95643,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5786,40.70098328,-73.75617825,Private room in guest suite,Private room,1,1.5,1.5 baths,1.0,0.0,82.0
5787,40.75092761,-73.87904534,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5788,40.70663,-73.90317,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,0.0,82.0
5789,40.67100903,-73.92821348,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,82.0
5790,40.79673,-73.96255,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,82.0
5791,40.74908815,-73.99626255,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5792,40.68302,-73.86135,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5793,40.6665,-73.95569,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5794,40.72348,-73.93967,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,82.0
5795,40.6893553,-73.9777045,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5796,40.74882,-73.87957,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5797,40.7055,-73.91841,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,82.0
5798,40.81934,-73.95708,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5799,40.69263,-73.92543,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1.0,1.0,82.0
5800,40.82242,-73.93831,Private room in rental unit,Private room,1,1.5,1.5 shared baths,3.0,1.0,82.0
5801,40.80077,-73.95664,Private room in rental unit,Private room,1,0.0,0 shared baths,4.0,1.0,82.0
5802,40.73728,-73.924853,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5803,40.8937599,-73.84642752,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5804,40.81151303,-73.95272564,Private room in rental unit,Private room,1,0.0,0 shared baths,5.0,1.0,82.0
5805,40.80039,-73.9575,Private room in rental unit,Private room,1,0.0,0 shared baths,4.0,1.0,82.0
5806,40.72366,-73.97937,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5807,40.65888,-73.98466,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5808,40.85312,-73.88892,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,0.0,82.0
5809,40.7397734,-73.7198118,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,82.0
5810,40.84008,-73.85917,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,82.0
5811,40.67632,-73.93771,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,0.0,0.0,82.0
5812,40.70652,-73.90286,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5813,40.68409037,-73.87746289,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5814,40.75353,-73.93886,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5815,40.79646,-73.9614,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,82.0
5816,40.57549871,-74.01039145,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,82.0
5817,40.7978,-73.96196,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,82.0
5818,40.73426,-73.98672,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,0.0,82.0
5819,40.87882653,-73.90033605,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,82.0
5820,40.65745352,-73.87664348,Private room in rental unit,Private room,3,1.0,1 shared bath,3.0,3.0,82.0
5821,40.69378,-73.95155,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,82.0
5822,40.54153,-74.16442,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5823,40.83404922,-73.93956757,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,82.0
5824,40.76271,-73.87613,Entire home,Entire home/apt,2,1.0,1 bath,1.0,0.0,82.0
5825,40.69251172,-73.91329858,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5826,40.80032,-73.96569,Private room in rental unit,Private room,1,0.0,0 shared baths,3.0,1.0,82.0
5827,40.78296787,-73.9502688,Private room in rental unit,Private room,1,0.0,0 shared baths,3.0,1.0,82.0
5828,40.61281,-73.98807,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,0.0,82.0
5829,40.76473,-73.9914,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,82.0
5830,40.66376,-73.94948,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,82.0
5831,40.68370379,-73.85083023,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,82.0
5832,40.758,-73.86991,Private room in home,Private room,1,1.0,1 private bath,1.0,0.0,82.0
5833,40.6996798,-73.9291393,Private room in rental unit,Private room,2,2.0,2 baths,1.0,0.0,82.0
5834,40.6375253,-73.94254929,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,82.0
5835,40.74629,-73.94493,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,82.0
5836,40.76132,-73.96064,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,,82.0
5837,40.824669,-73.952309,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,83.0
5838,40.81341,-73.90544,Private room in rental unit,Private room,4,1.0,1 shared bath,1.0,2.0,83.0
5839,40.72603,-73.94298,Private room in rental unit,Private room,1,1.0,1 bath,1.0,0.0,83.0
5840,40.67996318,-73.91509705,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,2.0,83.0
5841,40.826668,-73.9257407,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,83.0
5842,40.79715,-73.96341,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,83.0
5843,40.6465,-73.97959,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,83.0
5844,40.67315,-73.89235,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5845,40.80487283,-73.94520825,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,83.0
5846,40.81865063,-73.91722607,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,83.0
5847,40.68509763,-73.77505061,Entire home,Entire home/apt,2,1.0,1 bath,1.0,0.0,83.0
5848,40.7175,-73.83443,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,83.0
5849,40.72057148,-73.97721446,Private room in rental unit,Private room,1,0.0,0 shared baths,3.0,1.0,83.0
5850,40.85476,-73.88898,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,83.0
5851,40.74774,-73.98868,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,83.0
5852,40.88204,-73.90479,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,5.0,83.0
5853,40.69255,-73.91708,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,83.0
5854,40.6589523,-73.9181803,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,83.0
5855,40.70884,-73.75542,Private room in home,Private room,2,3.0,3 baths,1.0,1.0,83.0
5856,40.80242825,-73.9661831,Private room in rental unit,Private room,1,0.0,0 shared baths,1.0,1.0,83.0
